APT_ICAO,DATE,PHASE,N_VALID,"(-1e+09,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5]","(5,10]","(10,15]","(15,20]","(20,25]","(25,30]","(30,35]","(35,40]","(40,45]","(45,50]","(50,55]","(55,60]","(60,1e+09]",EARLY_M15M05,EARLY_M05M00,LATE_P00P05,LATE_P05P15,WITHIN_M05P05,WITHIN_M15P15
SBBR,2019-01-01T00:00:00Z,ARR,6319,8,0,0,2,1,0,0,1,3,8,25,394,1816,2534,1054,295,87,42,10,15,5,1,6,3,3,6,0.0663079601202722,0.2873872448172179,0.40101281848393733,0.21348314606741572,0.6884000633011552,0.9681911694888432
SBBR,2019-02-01T00:00:00Z,ARR,5500,10,0,0,0,0,0,1,0,3,5,50,350,1218,1874,1163,477,195,64,30,16,11,10,2,4,3,14,0.07272727272727272,0.22145454545454546,0.3407272727272727,0.29818181818181816,0.5621818181818182,0.9330909090909091
SBBR,2019-03-01T00:00:00Z,ARR,5649,4,0,0,0,0,0,1,1,1,2,42,360,1260,2159,1228,369,112,41,20,2,5,5,3,1,2,31,0.07116303770578863,0.22304832713754646,0.38219153832536734,0.2827049035227474,0.6052398654629138,0.9591078066914498
SBBR,2019-04-01T00:00:00Z,ARR,4810,0,0,0,0,1,0,0,0,1,7,27,247,1126,1749,984,286,65,52,15,8,4,4,5,2,3,224,0.05696465696465697,0.2340956340956341,0.3636174636174636,0.26403326403326405,0.5977130977130977,0.9187110187110187
SBBR,2019-05-01T00:00:00Z,ARR,4861,0,0,0,0,0,0,0,0,3,5,21,267,1075,1724,1106,320,87,30,13,8,12,4,1,4,1,180,0.05924706850442296,0.2211479119522732,0.3546595350750874,0.2933552766920387,0.5758074470273606,0.92840979222382225
SBBR,2019-06-01T00:00:00Z,ARR,5156,0,0,0,0,0,0,0,1,1,5,32,256,1187,2006,1146,272,78,18,11,9,6,3,3,2,1,119,0.055857253685027156,0.23021722265321956,0.38906128782001553,0.27501939487975174,0.619278510473235,0.950155159038014
SBBR,2019-07-01T00:00:00Z,ARR,6323,1,0,1,0,1,0,0,2,3,4,27,349,1365,2303,1629,414,107,48,30,10,8,6,3,5,1,6,0.05946544361853551,0.21587853866835363,0.36422584216353,0.323106120512415,0.5801043808318836,0.9626759449628342
SBBR,2019-08-01T00:00:00Z,ARR,5927,2,0,1,0,1,1,0,0,2,9,23,257,1047,2177,1580,587,122,44,17,14,5,7,1,6,4,20,0.047241437489455036,0.1766492323266408,0.3673021764805129,0.36561498228446093,0.5439514088071538,0.9568078285810697
SBBR,2019-09-01T00:00:00Z,ARR,5921,1,0,0,0,0,1,1,1,0,5,23,192,1198,2476,1459,364,103,39,16,8,4,7,7,6,3,7,0.03631143387941226,0.20233068738388785,0.4181726059787198,0.30788718121938863,0.6205032933626077,0.9647019084614086
SBBR,2019-10-01T00:00:00Z,ARR,6330,1,0,1,1,0,0,0,0,0,3,34,257,1227,2439,1588,517,156,55,23,9,4,4,3,1,2,5,0.04597156398104266,0.1938388625592417,0.3853080568720379,0.3325434439178515,0.5791469194312796,0.9576619273301737
SBBR,2019-11-01T00:00:00Z,ARR,6304,1,0,0,0,0,0,3,0,0,7,43,297,1045,1970,1646,755,294,125,45,24,6,6,10,4,5,18,0.053934010152284266,0.16576776649746192,0.3125,0.3808692893401015,0.47826776649746194,0.9130710659898477
SBBR,2019-12-01T00:00:00Z,ARR,6351,1,1,0,2,0,0,0,0,1,6,40,280,1014,2121,1621,747,283,117,52,18,9,10,7,3,3,15,0.05038576602109904,0.15965989607935757,0.33396315540859706,0.3728546685561329,0.49362305148795466,0.9168634860651866
SBBR,2020-01-01T00:00:00Z,ARR,6255,1,0,1,0,0,1,0,0,0,2,43,343,1228,1823,1368,792,388,144,54,25,14,6,3,4,0,15,0.06171063149480416,0.19632294164668265,0.29144684252597924,0.34532374100719426,0.48776978417266187,0.8948041566746603
SBBR,2020-02-01T00:00:00Z,ARR,5646,0,1,0,1,0,0,0,1,1,4,44,302,1078,1939,1325,562,201,94,35,16,12,3,3,6,3,15,0.061282323769040026,0.19093163301452357,0.3434289762663833,0.33421891604675874,0.5343606092809068,0.9298618490967057
SBBR,2020-03-01T00:00:00Z,ARR,4470,0,0,0,0,2,0,0,2,1,1,14,187,782,1605,1091,473,155,56,28,7,7,7,6,1,2,43,0.04496644295302014,0.1749440715883669,0.35906040268456374,0.3498881431767338,0.5340044742729306,0.9288590604026845
SBBR,2020-04-01T00:00:00Z,ARR,892,0,0,0,0,0,0,2,0,0,3,13,59,185,260,161,90,52,22,8,7,5,5,2,2,3,13,0.08071748878923767,0.20739910313901344,0.2914798206278027,0.28139013452914796,0.49887892376681614,0.8609865470852018
SBBR,2020-05-01T00:00:00Z,ARR,1152,0,0,0,0,2,1,1,1,1,5,12,87,196,299,217,125,83,48,25,13,6,6,5,5,1,13,0.0859375,0.1701388888888889,0.2595486111111111,0.296875,0.4296875,0.8125
SBBR,2020-06-01T00:00:00Z,ARR,1526,0,0,0,0,1,0,0,0,0,2,24,94,284,483,366,128,62,28,15,7,7,6,4,3,1,11,0.07732634338138926,0.18610747051114024,0.3165137614678899,0.3237221494102228,0.5026212319790302,0.9036697247706422
SBBR,2020-07-01T00:00:00Z,ARR,2275,0,0,0,0,1,0,0,0,0,6,22,125,431,723,563,217,75,42,15,19,8,8,6,1,2,11,0.06461538461538462,0.18945054945054945,0.3178021978021978,0.34285714285714286,0.5072527472527473,0.9147252747252748
SBBR,2020-08-01T00:00:00Z,ARR,2958,3,0,0,0,0,0,1,2,3,7,20,162,573,1005,731,253,88,41,22,10,10,8,4,3,4,8,0.06152805949966193,0.19371196754563894,0.33975659229208927,0.332657200811359,0.5334685598377282,0.9276538201487492
SBBR,2020-09-01T00:00:00Z,ARR,3570,1,0,0,0,0,0,0,1,1,1,23,138,583,1286,974,339,114,51,19,14,4,10,2,1,2,6,0.045098039215686274,0.16330532212885154,0.36022408963585434,0.3677871148459384,0.5235294117647059,0.9364145658263305
