REG,DATE,ARRS,DEPS,HEAVY,MED,LIGHT,ARRS_DOM,DEPS_DOM,OVR_FLTS
BRA,2019-01-01,1598,1657,211,2789,255,1408,1463,NA
BRA,2019-01-02,2149,2180,225,3658,446,1937,1959,NA
BRA,2019-01-03,2196,2219,225,3788,402,1978,1998,NA
BRA,2019-01-04,2189,2191,231,3748,401,1970,1976,NA
BRA,2019-01-05,1878,1883,229,3299,233,1648,1642,NA
BRA,2019-01-06,1806,1826,217,3180,235,1571,1607,NA
BRA,2019-01-07,2051,2048,234,3550,315,1833,1831,NA
BRA,2019-01-08,2152,2159,234,3726,351,1945,1944,NA
BRA,2019-01-09,2177,2195,235,3818,319,1968,1979,NA
BRA,2019-01-10,2202,2176,220,3778,380,1984,1964,NA
BRA,2019-01-11,2178,2223,227,3756,418,1970,2004,NA
BRA,2019-01-12,1844,1833,224,3263,190,1618,1597,NA
BRA,2019-01-13,1817,1815,219,3176,237,1585,1605,NA
BRA,2019-01-14,2105,2112,228,3736,253,1886,1892,NA
BRA,2019-01-15,2182,2189,239,3806,326,1965,1974,NA
BRA,2019-01-16,2148,2147,237,3729,329,1931,1930,NA
BRA,2019-01-17,2191,2205,233,3828,335,1984,1997,NA
BRA,2019-01-18,2229,2227,231,3812,413,2015,2001,NA
BRA,2019-01-19,1830,1817,230,3229,188,1604,1587,NA
BRA,2019-01-20,1827,1814,213,3187,241,1601,1597,NA
BRA,2019-01-21,2140,2152,222,3732,338,1928,1940,NA
BRA,2019-01-22,2210,2196,248,3747,411,1997,1982,NA
BRA,2019-01-23,2163,2206,242,3719,408,1949,1994,NA
BRA,2019-01-24,2188,2195,232,3748,403,1967,1981,NA
BRA,2019-01-25,2148,2139,239,3689,359,1935,1925,NA
BRA,2019-01-26,1854,1860,236,3257,221,1628,1620,NA
BRA,2019-01-27,1853,1828,218,3216,247,1616,1616,NA
BRA,2019-01-28,2151,2154,221,3736,348,1930,1938,NA
BRA,2019-01-29,2185,2200,251,3755,379,1975,1991,NA
BRA,2019-01-30,2218,2209,236,3754,437,1999,1991,NA
BRA,2019-01-31,2218,2223,235,3778,428,2002,2010,NA
BRA,2019-02-01,2196,2197,229,3739,425,1987,1977,NA
BRA,2019-02-02,1778,1790,229,3118,221,1548,1556,NA
