REG,OVR_FLTS,DATE,ARRS,DEPS,HEAVY,MED,LIGHT,ARRS_DOM,DEPS_DOM
BRA,,2019-01-01T00:00:00Z,1598,1657,211,2789,255,1408,1463
BRA,,2019-01-02T00:00:00Z,2149,2180,225,3658,446,1937,1959
BRA,,2019-01-03T00:00:00Z,2196,2219,225,3788,402,1978,1998
BRA,,2019-01-04T00:00:00Z,2189,2191,231,3748,401,1970,1976
BRA,,2019-01-05T00:00:00Z,1878,1883,229,3299,233,1648,1642
BRA,,2019-01-06T00:00:00Z,1806,1826,217,3180,235,1571,1607
BRA,,2019-01-07T00:00:00Z,2051,2048,234,3550,315,1833,1831
BRA,,2019-01-08T00:00:00Z,2152,2159,234,3726,351,1945,1944
BRA,,2019-01-09T00:00:00Z,2177,2195,235,3818,319,1968,1979
BRA,,2019-01-10T00:00:00Z,2202,2176,220,3778,380,1984,1964
BRA,,2019-01-11T00:00:00Z,2178,2223,227,3756,418,1970,2004
BRA,,2019-01-12T00:00:00Z,1844,1833,224,3263,190,1618,1597
BRA,,2019-01-13T00:00:00Z,1817,1815,219,3176,237,1585,1605
BRA,,2019-01-14T00:00:00Z,2105,2112,228,3736,253,1886,1892
BRA,,2019-01-15T00:00:00Z,2182,2189,239,3806,326,1965,1974
BRA,,2019-01-16T00:00:00Z,2148,2147,237,3729,329,1931,1930
BRA,,2019-01-17T00:00:00Z,2191,2205,233,3828,335,1984,1997
BRA,,2019-01-18T00:00:00Z,2229,2227,231,3812,413,2015,2001
BRA,,2019-01-19T00:00:00Z,1830,1817,230,3229,188,1604,1587
BRA,,2019-01-20T00:00:00Z,1827,1814,213,3187,241,1601,1597
BRA,,2019-01-21T00:00:00Z,2140,2152,222,3732,338,1928,1940
BRA,,2019-01-22T00:00:00Z,2210,2196,248,3747,411,1997,1982
BRA,,2019-01-23T00:00:00Z,2163,2206,242,3719,408,1949,1994
BRA,,2019-01-24T00:00:00Z,2188,2195,232,3748,403,1967,1981
BRA,,2019-01-25T00:00:00Z,2148,2139,239,3689,359,1935,1925
BRA,,2019-01-26T00:00:00Z,1854,1860,236,3257,221,1628,1620
BRA,,2019-01-27T00:00:00Z,1853,1828,218,3216,247,1616,1616
BRA,,2019-01-28T00:00:00Z,2151,2154,221,3736,348,1930,1938
BRA,,2019-01-29T00:00:00Z,2185,2200,251,3755,379,1975,1991
BRA,,2019-01-30T00:00:00Z,2218,2209,236,3754,437,1999,1991
BRA,,2019-01-31T00:00:00Z,2218,2223,235,3778,428,2002,2010
BRA,,2019-02-01T00:00:00Z,2196,2197,229,3739,425,1987,1977
BRA,,2019-02-02T00:00:00Z,1778,1790,229,3118,221,1548,1556
BRA,,2019-02-03T00:00:00Z,1767,1747,212,3074,228,1543,1535
BRA,,2019-02-04T00:00:00Z,2107,2109,225,3671,320,1898,1899
BRA,,2019-02-05T00:00:00Z,2149,2152,236,3697,368,1939,1950
BRA,,2019-02-06T00:00:00Z,2108,2121,247,3610,372,1902,1909
BRA,,2019-02-07T00:00:00Z,2184,2184,229,3709,430,1975,1981
BRA,,2019-02-08T00:00:00Z,2184,2207,232,3740,419,1975,1993
BRA,,2019-02-09T00:00:00Z,1764,1751,228,3051,236,1549,1530
BRA,,2019-02-10T00:00:00Z,1678,1671,202,2926,221,1464,1472
BRA,,2019-02-11T00:00:00Z,2127,2119,229,3682,335,1914,1913
BRA,,2019-02-12T00:00:00Z,2121,2146,231,3671,365,1923,1941
BRA,,2019-02-13T00:00:00Z,2147,2131,224,3705,349,1945,1928
BRA,,2019-02-14T00:00:00Z,2224,2249,225,3775,473,2018,2037
BRA,,2019-02-15T00:00:00Z,2153,2181,226,3706,402,1952,1981
BRA,,2019-02-16T00:00:00Z,1763,1736,223,3073,203,1549,1518
BRA,,2019-02-17T00:00:00Z,1548,1559,204,2703,200,1345,1368
BRA,,2019-02-18T00:00:00Z,2096,2099,213,3644,338,1894,1903
BRA,,2019-02-19T00:00:00Z,2155,2118,228,3626,419,1962,1918
BRA,,2019-02-20T00:00:00Z,2093,2123,231,3565,420,1896,1928
BRA,,2019-02-21T00:00:00Z,2212,2226,225,3772,441,2000,2018
BRA,,2019-02-22T00:00:00Z,2130,2168,224,3652,422,1931,1960
BRA,,2019-02-23T00:00:00Z,1845,1785,222,3159,249,1635,1564
BRA,,2019-02-24T00:00:00Z,1618,1647,206,2824,235,1407,1454
BRA,,2019-02-25T00:00:00Z,2041,2063,212,3574,318,1844,1865
BRA,,2019-02-26T00:00:00Z,2090,2091,230,3596,355,1888,1890
BRA,,2019-02-27T00:00:00Z,2163,2158,224,3687,410,1969,1956
BRA,,2019-02-28T00:00:00Z,2225,2228,235,3778,440,2010,2005
BRA,,2019-03-01T00:00:00Z,2312,2344,232,3873,551,2101,2117
BRA,,2019-03-02T00:00:00Z,2002,1956,216,3318,424,1787,1715
BRA,,2019-03-03T00:00:00Z,1272,1263,220,2095,220,1053,1069
BRA,,2019-03-04T00:00:00Z,1317,1348,203,2267,195,1126,1148
BRA,,2019-03-05T00:00:00Z,1505,1542,218,2632,197,1311,1344
BRA,,2019-03-06T00:00:00Z,2093,2109,212,3631,359,1896,1916
BRA,,2019-03-07T00:00:00Z,2078,2058,213,3533,390,1867,1857
BRA,,2019-03-08T00:00:00Z,1969,1969,216,3330,392,1768,1763
BRA,,2019-03-09T00:00:00Z,1741,1721,210,3040,212,1523,1505
BRA,,2019-03-10T00:00:00Z,1707,1766,209,3011,253,1475,1565
BRA,,2019-03-11T00:00:00Z,2113,2094,214,3670,323,1911,1899
BRA,,2019-03-12T00:00:00Z,2095,2100,226,3650,319,1895,1910
BRA,,2019-03-13T00:00:00Z,2121,2120,215,3642,384,1932,1935
BRA,,2019-03-14T00:00:00Z,2135,2140,215,3641,419,1948,1948
BRA,,2019-03-15T00:00:00Z,2193,2236,213,3764,452,2002,2037
BRA,,2019-03-16T00:00:00Z,1796,1756,200,3106,246,1603,1543
BRA,,2019-03-17T00:00:00Z,1611,1632,194,2844,205,1409,1450
BRA,,2019-03-18T00:00:00Z,2062,2062,199,3620,305,1870,1872
BRA,,2019-03-19T00:00:00Z,2056,2052,214,3556,338,1877,1876
BRA,,2019-03-20T00:00:00Z,2133,2111,208,3630,406,1949,1929
BRA,,2019-03-21T00:00:00Z,2112,2150,204,3640,418,1929,1955
BRA,,2019-03-22T00:00:00Z,2113,2153,205,3687,374,1927,1961
BRA,,2019-03-23T00:00:00Z,1793,1755,203,3089,256,1599,1548
BRA,,2019-03-24T00:00:00Z,1636,1657,191,2870,232,1437,1475
BRA,,2019-03-25T00:00:00Z,2067,2069,193,3657,286,1878,1881
BRA,,2019-03-26T00:00:00Z,2091,2098,206,3600,383,1903,1911
BRA,,2019-03-27T00:00:00Z,2091,2091,200,3578,404,1909,1916
BRA,,2019-03-28T00:00:00Z,2105,2115,207,3643,370,1920,1927
BRA,,2019-03-29T00:00:00Z,2171,2214,212,3746,427,1984,2023
BRA,,2019-03-30T00:00:00Z,1791,1750,200,3142,199,1601,1541
BRA,,2019-03-31T00:00:00Z,1598,1619,187,2805,225,1403,1435
BRA,,2019-04-01T00:00:00Z,2072,2064,193,3612,331,1870,1879
BRA,,2019-04-02T00:00:00Z,2021,1988,195,3446,368,1848,1822
BRA,,2019-04-03T00:00:00Z,2051,2054,203,3514,388,1875,1886
BRA,,2019-04-04T00:00:00Z,2101,2117,212,3595,411,1929,1939
BRA,,2019-04-05T00:00:00Z,2114,2124,191,3622,425,1950,1956
BRA,,2019-04-06T00:00:00Z,1715,1673,198,3011,179,1544,1483
BRA,,2019-04-07T00:00:00Z,1517,1558,181,2713,181,1340,1393
BRA,,2019-04-08T00:00:00Z,2033,2013,200,3556,290,1850,1839
BRA,,2019-04-09T00:00:00Z,1943,1957,195,3327,378,1775,1782
BRA,,2019-04-10T00:00:00Z,2096,2111,192,3576,439,1928,1938
BRA,,2019-04-11T00:00:00Z,2104,2128,204,3578,450,1922,1950
BRA,,2019-04-12T00:00:00Z,2169,2145,194,3660,460,1995,1969
BRA,,2019-04-13T00:00:00Z,1728,1721,193,3000,256,1549,1518
BRA,,2019-04-14T00:00:00Z,1557,1583,178,2717,245,1361,1406
BRA,,2019-04-15T00:00:00Z,1993,1994,182,3464,341,1819,1826
BRA,,2019-04-16T00:00:00Z,1993,1968,197,3412,352,1819,1798
BRA,,2019-04-17T00:00:00Z,2111,2139,198,3521,531,1945,1968
BRA,,2019-04-18T00:00:00Z,2164,2204,204,3616,548,1982,2018
