ICAO,DATE,ARRS,DEPS,HEAVY,MED,LIGHT,ARRS_DOM,DEPS_DOM
EGLL,2019-01-01,603,608,468,743,0,356,357
EGLL,2019-01-02,638,635,496,777,0,380,375
EGLL,2019-01-03,630,631,505,756,0,368,367
EGLL,2019-01-04,633,637,506,764,0,366,370
EGLL,2019-01-05,578,581,521,638,0,303,310
EGLL,2019-01-06,639,632,519,752,0,367,362
EGLL,2019-01-07,632,631,496,767,0,369,370
EGLL,2019-01-08,620,618,505,732,0,357,357
EGLL,2019-01-09,626,627,501,752,0,366,369
EGLL,2019-01-10,619,615,504,730,0,359,353
EGLL,2019-01-11,619,622,497,744,0,359,361
EGLL,2019-01-12,572,575,511,636,0,302,309
EGLL,2019-01-13,615,614,508,721,0,350,348
EGLL,2019-01-14,623,623,483,763,0,366,368
EGLL,2019-01-15,601,596,476,721,0,344,346
EGLL,2019-01-16,605,608,474,739,0,362,361
EGLL,2019-01-17,622,620,490,752,0,367,364
EGLL,2019-01-18,614,617,474,757,0,362,365
EGLL,2019-01-19,561,562,502,621,0,294,303
EGLL,2019-01-20,613,610,495,728,0,356,348
EGLL,2019-01-21,621,621,481,761,0,365,366
EGLL,2019-01-22,592,585,464,713,0,341,342
EGLL,2019-01-23,602,603,472,733,0,359,361
EGLL,2019-01-24,620,623,482,761,0,370,369
EGLL,2019-01-25,619,621,476,764,0,367,368
EGLL,2019-01-26,561,566,505,622,0,298,308
EGLL,2019-01-27,608,606,494,720,0,352,348
EGLL,2019-01-28,627,622,482,767,0,371,371
EGLL,2019-01-29,612,604,464,752,0,362,361
EGLL,2019-01-30,612,621,474,759,0,366,373
EGLL,2019-01-31,583,581,475,689,0,336,330
EGLL,2019-02-01,592,587,478,701,0,337,334
EGLL,2019-02-02,568,582,495,655,0,305,321
EGLL,2019-02-03,626,622,491,757,0,367,363
EGLL,2019-02-04,625,621,468,778,0,374,376
EGLL,2019-02-05,620,610,465,765,0,372,368
EGLL,2019-02-06,620,624,464,780,0,381,381
EGLL,2019-02-07,636,637,477,796,0,388,388
EGLL,2019-02-08,634,640,477,797,0,382,385
EGLL,2019-02-09,586,593,498,681,0,324,331
EGLL,2019-02-10,641,634,490,785,0,380,374
EGLL,2019-02-11,639,639,476,802,0,387,386
EGLL,2019-02-12,628,621,476,773,0,373,370
EGLL,2019-02-13,612,615,478,749,0,367,369
EGLL,2019-02-14,641,646,486,801,0,387,389
EGLL,2019-02-15,655,656,492,819,0,395,396
EGLL,2019-02-16,605,611,512,704,0,336,344
EGLL,2019-02-17,650,647,496,801,0,388,383
EGLL,2019-02-18,654,649,485,818,0,397,397
EGLL,2019-02-19,649,643,477,815,0,392,390
EGLL,2019-02-20,637,638,481,794,0,390,387
EGLL,2019-02-21,649,656,485,820,0,397,400
EGLL,2019-02-22,646,649,494,801,0,386,388
EGLL,2019-02-23,602,610,514,698,0,333,343
EGLL,2019-02-24,661,653,504,810,0,394,387
EGLL,2019-02-25,639,645,485,799,0,385,388
EGLL,2019-02-26,645,632,478,799,0,386,381
EGLL,2019-02-27,628,632,478,782,0,380,384
