APT_ICAO,YEAR,HR_SLOT,N_SLOTS,MAX_N,MAX_CAP,REGION,UTIL_RATE
SBBR,2019,11:00:00,365,33,57,BRA,0.5789473684210527
SBCF,2019,00:00:00,363,24,35,BRA,0.6857142857142857
SBCT,2019,19:00:00,355,14,28,BRA,0.5
SBGL,2019,23:00:00,365,27,54,BRA,0.5
SBGR,2019,23:00:00,363,36,57,BRA,0.631578947368421
SBKP,2019,12:00:00,361,24,35,BRA,0.6857142857142857
SBPA,2019,20:00:00,360,15,30,BRA,0.5
SBRJ,2019,10:00:00,331,22,29,BRA,0.7586206896551724
SBSP,2019,18:00:00,362,32,41,BRA,0.7804878048780488
SBSV,2019,17:00:00,363,19,32,BRA,0.59375
