STATE,ISO,ECTRL,ECTRL_YEAR
Belgium,BE,MS,1963
France,FR,MS,1963
Germany,GE,MS,1963
Luxembourg,LU,MS,1963
The Netherlands,NL,MS,1963
United Kingdom,GB,MS,1963
Ireland,IE,MS,1965
Portugal,PT,MS,1986
Greece,GR,MS,1988
Malta,MT,MS,1989
Turkey,TR,MS,1989
Cyprus,CP,MS,1991
Hungary,HU,MS,1992
Switzerland,CH,MS,1992
Austria,AT,MS,1993
Denmark,DK,MS,1994
Norway,NO,MS,1994
Slovenia,SI,MS,1995
Sweden,SE,MS,1995
Czech Republic,CZ,MS,1996
Italy,IT,MS,1996
Romania,RO,MS,1996
Bulgaria,BG,MS,1997
Croatia,HR,MS,1997
Monaco,MC,MS,1997
Slovakia,SK,MS,1997
Spain,ES,MS,1997
North Macedonia,MK,MS,1998
Republic of Moldova,MD,MS,2000
Finland,FI,MS,2001
Albania,AL,MS,2002
Bosnia and Herzogovina,BA,MS,2004
Poland,PL,MS,2004
Ukraine,UA,MS,2004
Serbia,RS,MS,2005
Armenia,AM,MS,2006
Lithuania,LT,MS,2006
Montenegro,ME,MS,2007
Latvia,LV,MS,2011
Georgia,GE,MS,2014
Estonia,EE,MS,2015
Israel,IR,CS,2016
Morocco,MR,CS,2016
